r = 0.2,upperCap = 50,,,
69,0.4,0.79,88,28
69,0.4,0.79,90,45
69,0.4,0.79,97,39
70,0.8,0.62,10,48
70,0.8,0.62,12,23
70,0.8,0.62,25,11
70,0.8,0.62,74,49
70,0.8,0.62,80,15
70,0.8,0.62,82,9
70,0.8,0.62,87,49
70,0.8,0.62,92,33
70,0.8,0.62,94,15
71,0.82,0.39,0,46
71,0.82,0.39,2,28
71,0.82,0.39,21,1
71,0.82,0.39,27,21
71,0.82,0.39,43,30
71,0.82,0.39,57,17
71,0.82,0.39,58,39
71,0.82,0.39,72,15
71,0.82,0.39,73,50
71,0.82,0.39,82,33
72,0.69,0.28,2,5
72,0.69,0.28,8,38
72,0.69,0.28,41,34
72,0.69,0.28,73,39
73,0.68,0.32,2,19
73,0.68,0.32,8,12
73,0.68,0.32,41,27
74,0.91,0.61,43,39
74,0.91,0.61,92,11
75,0.33,0.31,-,-
76,0.02,0.54,59,5
76,0.02,0.54,81,44
76,0.02,0.54,86,46
77,0.89,0.17,15,42
77,0.89,0.17,27,42
77,0.89,0.17,32,28
77,0.89,0.17,52,3
77,0.89,0.17,54,42
77,0.89,0.17,68,29
77,0.89,0.17,93,29
78,0.55,0.25,8,37
78,0.55,0.25,22,37
78,0.55,0.25,33,23
78,0.55,0.25,41,29
78,0.55,0.25,56,26
78,0.55,0.25,57,30
78,0.55,0.25,72,37
78,0.55,0.25,73,4
79,0.42,0.54,3,31
79,0.42,0.54,5,39
79,0.42,0.54,11,5
79,0.42,0.54,13,41
79,0.42,0.54,14,23
79,0.42,0.54,16,46
79,0.42,0.54,18,3
79,0.42,0.54,35,22
79,0.42,0.54,40,2
79,0.42,0.54,45,32
79,0.42,0.54,49,28
79,0.42,0.54,64,23
79,0.42,0.54,96,5
80,0.63,0.59,3,7
80,0.63,0.59,11,16
80,0.63,0.59,12,34
80,0.63,0.59,34,7
80,0.63,0.59,45,40
80,0.63,0.59,47,38
80,0.63,0.59,92,3
80,0.63,0.59,94,18
81,0.13,0.58,35,21
81,0.13,0.58,86,41
82,0.91,0.51,43,12
82,0.91,0.51,74,12
82,0.91,0.51,92,31
83,0.1,0.68,35,43
83,0.1,0.68,59,45
83,0.1,0.68,76,29
83,0.1,0.68,81,22
83,0.1,0.68,91,15
84,0.09,0.4,6,27
84,0.09,0.4,29,50
84,0.09,0.4,51,10
84,0.09,0.4,65,50
84,0.09,0.4,76,19
84,0.09,0.4,81,6
84,0.09,0.4,86,24
85,0.29,0.81,1,8
85,0.29,0.81,35,10
85,0.29,0.81,59,43
85,0.29,0.81,64,42
85,0.29,0.81,88,10
85,0.29,0.81,90,6
86,0.11,0.47,-,-
87,0.62,0.57,0,33
87,0.62,0.57,3,19
87,0.62,0.57,11,38
87,0.62,0.57,12,39
87,0.62,0.57,21,21
87,0.62,0.57,45,36
87,0.62,0.57,47,8
87,0.62,0.57,80,30
87,0.62,0.57,92,24
87,0.62,0.57,94,28
88,0.26,0.9,1,34
88,0.26,0.9,90,13
89,0.84,0.33,2,29
89,0.84,0.33,9,8
89,0.84,0.33,21,31
89,0.84,0.33,26,29
89,0.84,0.33,27,21
89,0.84,0.33,32,9
89,0.84,0.33,43,25
89,0.84,0.33,54,21
89,0.84,0.33,58,31
89,0.84,0.33,71,20
89,0.84,0.33,72,24
89,0.84,0.33,73,9
89,0.84,0.33,77,31
89,0.84,0.33,82,9
90,0.33,0.87,-,-
91,0.02,0.83,-,-
92,0.76,0.63,-,-
93,0.78,0.12,15,4
93,0.78,0.12,20,42
93,0.78,0.12,52,37
93,0.78,0.12,68,45
93,0.78,0.12,72,11
93,0.78,0.12,98,40
94,0.61,0.62,47,23
94,0.61,0.62,92,21
95,0.91,0.3,2,5
95,0.91,0.3,26,40
95,0.91,0.3,27,38
95,0.91,0.3,28,48
95,0.91,0.3,32,23
95,0.91,0.3,43,37
95,0.91,0.3,54,8
95,0.91,0.3,58,1
95,0.91,0.3,71,43
95,0.91,0.3,77,45
95,0.91,0.3,89,42
96,0.46,0.53,3,29
96,0.46,0.53,5,37
96,0.46,0.53,11,36
96,0.46,0.53,13,49
96,0.46,0.53,14,31
96,0.46,0.53,18,19
96,0.46,0.53,40,6
96,0.46,0.53,45,42
96,0.46,0.53,49,38
96,0.46,0.53,64,36
96,0.46,0.53,80,4
96,0.46,0.53,87,31
96,0.46,0.53,94,20
97,0.54,0.89,1,5
97,0.54,0.89,25,19
97,0.54,0.89,34,41
97,0.54,0.89,44,36
97,0.54,0.89,47,21
97,0.54,0.89,48,34
97,0.54,0.89,60,44
98,0.64,0.04,8,41
98,0.64,0.04,20,27
98,0.64,0.04,33,21
98,0.64,0.04,41,25
98,0.64,0.04,56,1
99,0.89,0.98,-,-
Source node:,11,,,
Sink node:,56,,,
