r = 0.3,upperCap = 2,,,
12,0.71,0.58,74,1
12,0.71,0.58,79,1
12,0.71,0.58,82,1
12,0.71,0.58,87,2
12,0.71,0.58,89,1
12,0.71,0.58,92,1
12,0.71,0.58,94,1
13,0.31,0.46,3,2
13,0.31,0.46,4,2
13,0.31,0.46,5,1
13,0.31,0.46,11,1
13,0.31,0.46,16,1
13,0.31,0.46,18,2
13,0.31,0.46,29,2
13,0.31,0.46,35,1
13,0.31,0.46,36,2
13,0.31,0.46,40,2
13,0.31,0.46,45,2
13,0.31,0.46,53,1
13,0.31,0.46,59,1
13,0.31,0.46,65,2
13,0.31,0.46,67,1
13,0.31,0.46,75,1
13,0.31,0.46,81,2
13,0.31,0.46,84,2
13,0.31,0.46,86,2
14,0.38,0.43,3,2
14,0.38,0.43,5,1
14,0.38,0.43,8,1
14,0.38,0.43,11,1
14,0.38,0.43,13,1
14,0.38,0.43,16,1
14,0.38,0.43,18,1
14,0.38,0.43,22,2
14,0.38,0.43,35,1
14,0.38,0.43,40,1
14,0.38,0.43,41,2
14,0.38,0.43,45,2
14,0.38,0.43,57,2
14,0.38,0.43,59,2
14,0.38,0.43,67,1
14,0.38,0.43,75,1
14,0.38,0.43,81,1
14,0.38,0.43,84,1
14,0.38,0.43,86,2
14,0.38,0.43,87,2
14,0.38,0.43,94,1
15,0.93,0.09,95,1
16,0.44,0.44,3,2
16,0.44,0.44,8,1
16,0.44,0.44,11,1
16,0.44,0.44,18,1
16,0.44,0.44,40,1
16,0.44,0.44,45,2
16,0.44,0.44,57,1
16,0.44,0.44,75,2
16,0.44,0.44,94,2
17,0.2,0.01,4,1
17,0.2,0.01,22,1
17,0.2,0.01,23,2
17,0.2,0.01,30,2
17,0.2,0.01,37,2
17,0.2,0.01,38,2
17,0.2,0.01,39,2
17,0.2,0.01,55,1
17,0.2,0.01,56,1
17,0.2,0.01,61,1
17,0.2,0.01,62,1
17,0.2,0.01,66,2
18,0.43,0.44,-,-
19,0.17,0.88,31,2
19,0.17,0.88,36,2
19,0.17,0.88,69,1
19,0.17,0.88,90,1
20,0.63,0.04,8,1
20,0.63,0.04,22,2
20,0.63,0.04,30,2
20,0.63,0.04,41,2
20,0.63,0.04,52,1
20,0.63,0.04,56,1
20,0.63,0.04,62,1
20,0.63,0.04,93,1
20,0.63,0.04,98,2
21,0.74,0.42,2,2
21,0.74,0.42,3,2
21,0.74,0.42,7,1
21,0.74,0.42,8,1
21,0.74,0.42,11,1
21,0.74,0.42,27,2
21,0.74,0.42,43,2
21,0.74,0.42,45,2
21,0.74,0.42,54,2
21,0.74,0.42,57,2
21,0.74,0.42,58,2
21,0.74,0.42,70,1
21,0.74,0.42,74,2
21,0.74,0.42,87,1
21,0.74,0.42,89,1
21,0.74,0.42,92,1
21,0.74,0.42,94,2
21,0.74,0.42,95,2
22,0.39,0.17,4,2
22,0.39,0.17,8,2
22,0.39,0.17,16,2
22,0.39,0.17,18,2
22,0.39,0.17,23,1
22,0.39,0.17,30,2
22,0.39,0.17,57,2
22,0.39,0.17,75,1
23,0.25,0.05,-,-
24,0.01,0.9,19,2
24,0.01,0.9,31,1
24,0.01,0.9,36,2
24,0.01,0.9,83,1
25,0.7,0.79,7,2
25,0.7,0.79,34,2
25,0.7,0.79,42,1
25,0.7,0.79,45,2
25,0.7,0.79,46,2
25,0.7,0.79,47,1
25,0.7,0.79,69,2
25,0.7,0.79,92,1
25,0.7,0.79,94,1
26,0.82,0.41,2,1
26,0.82,0.41,7,1
26,0.82,0.41,8,2
26,0.82,0.41,11,1
26,0.82,0.41,21,2
26,0.82,0.41,27,2
26,0.82,0.41,28,1
26,0.82,0.41,43,1
26,0.82,0.41,54,1
26,0.82,0.41,57,2
26,0.82,0.41,58,2
26,0.82,0.41,70,2
26,0.82,0.41,71,1
26,0.82,0.41,72,1
26,0.82,0.41,74,1
26,0.82,0.41,77,2
26,0.82,0.41,82,2
26,0.82,0.41,87,2
26,0.82,0.41,89,1
26,0.82,0.41,92,2
26,0.82,0.41,93,2
26,0.82,0.41,94,1
26,0.82,0.41,95,1
27,0.83,0.36,2,1
27,0.83,0.36,8,2
27,0.83,0.36,11,2
27,0.83,0.36,15,1
27,0.83,0.36,28,2
27,0.83,0.36,43,2
27,0.83,0.36,54,2
27,0.83,0.36,57,1
27,0.83,0.36,70,2
27,0.83,0.36,74,1
27,0.83,0.36,87,2
27,0.83,0.36,89,1
27,0.83,0.36,92,2
27,0.83,0.36,93,2
27,0.83,0.36,95,2
28,0.96,0.16,2,1
28,0.96,0.16,15,2
28,0.96,0.16,54,2
28,0.96,0.16,68,2
28,0.96,0.16,89,2
28,0.96,0.16,95,2
29,0.06,0.37,4,1
29,0.06,0.37,36,1
29,0.06,0.37,40,2
29,0.06,0.37,75,2
29,0.06,0.37,76,1
30,0.42,0.03,8,1
30,0.42,0.03,23,2
30,0.42,0.03,75,2
31,0.12,0.74,76,1
31,0.12,0.74,90,1
32,0.89,0.29,0,2
32,0.89,0.29,2,1
32,0.89,0.29,9,1
32,0.89,0.29,15,2
32,0.89,0.29,21,1
32,0.89,0.29,26,2
32,0.89,0.29,27,2
32,0.89,0.29,28,1
32,0.89,0.29,43,2
32,0.89,0.29,52,2
32,0.89,0.29,54,1
32,0.89,0.29,57,2
32,0.89,0.29,58,2
32,0.89,0.29,68,2
32,0.89,0.29,71,1
32,0.89,0.29,72,1
32,0.89,0.29,73,1
32,0.89,0.29,77,1
32,0.89,0.29,82,2
32,0.89,0.29,89,1
32,0.89,0.29,93,1
32,0.89,0.29,95,1
33,0.55,0.18,2,1
33,0.55,0.18,8,2
33,0.55,0.18,11,1
33,0.55,0.18,16,1
33,0.55,0.18,18,1
33,0.55,0.18,20,2
33,0.55,0.18,22,2
33,0.55,0.18,30,2
33,0.55,0.18,41,1
33,0.55,0.18,56,2
33,0.55,0.18,57,1
33,0.55,0.18,62,1
33,0.55,0.18,67,2
33,0.55,0.18,72,2
33,0.55,0.18,73,1
33,0.55,0.18,75,2
33,0.55,0.18,78,1
33,0.55,0.18,93,1
33,0.55,0.18,98,2
34,0.55,0.77,42,1
34,0.55,0.77,45,2
34,0.55,0.77,47,1
34,0.55,0.77,69,2
34,0.55,0.77,90,1
34,0.55,0.77,92,2
34,0.55,0.77,94,2
35,0.27,0.65,1,1
35,0.27,0.65,3,1
35,0.27,0.65,5,1
35,0.27,0.65,16,2
35,0.27,0.65,18,1
35,0.27,0.65,19,2
35,0.27,0.65,31,2
35,0.27,0.65,36,1
35,0.27,0.65,40,2
35,0.27,0.65,45,1
35,0.27,0.65,60,1
35,0.27,0.65,69,1
35,0.27,0.65,76,2
35,0.27,0.65,81,2
35,0.27,0.65,83,2
35,0.27,0.65,85,2
35,0.27,0.65,86,2
35,0.27,0.65,90,1
36,0.08,0.62,31,2
36,0.08,0.62,40,1
36,0.08,0.62,76,1
37,0.03,0.12,4,1
37,0.03,0.12,23,2
37,0.03,0.12,29,1
37,0.03,0.12,38,2
37,0.03,0.12,39,2
37,0.03,0.12,61,1
38,0,0.01,4,1
38,0,0.01,23,1
39,0.01,0.09,4,1
39,0.01,0.09,23,1
39,0.01,0.09,29,2
39,0.01,0.09,38,2
39,0.01,0.09,61,1
40,0.28,0.47,4,1
40,0.28,0.47,18,1
40,0.28,0.47,75,2
40,0.28,0.47,76,2
41,0.53,0.19,2,1
41,0.53,0.19,8,1
41,0.53,0.19,11,2
41,0.53,0.19,16,2
41,0.53,0.19,18,1
41,0.53,0.19,22,2
41,0.53,0.19,30,1
41,0.53,0.19,57,2
41,0.53,0.19,75,1
42,0.76,0.95,7,1
42,0.76,0.95,46,2
43,0.94,0.47,2,2
43,0.94,0.47,92,1
43,0.94,0.47,95,1
44,0.5,0.87,1,2
44,0.5,0.87,25,1
44,0.5,0.87,34,2
44,0.5,0.87,42,2
44,0.5,0.87,47,1
44,0.5,0.87,48,1
44,0.5,0.87,60,2
44,0.5,0.87,63,2
44,0.5,0.87,64,1
44,0.5,0.87,69,1
44,0.5,0.87,85,1
44,0.5,0.87,90,2
44,0.5,0.87,94,2
44,0.5,0.87,97,1
45,0.51,0.56,18,2
45,0.51,0.56,40,1
45,0.51,0.56,47,2
45,0.51,0.56,57,2
45,0.51,0.56,92,1
45,0.51,0.56,94,1
46,0.95,0.9,-,-
47,0.58,0.72,7,2
47,0.58,0.72,42,1
47,0.58,0.72,90,2
47,0.58,0.72,92,1
47,0.58,0.72,94,2
48,0.61,1,25,2
48,0.61,1,34,2
48,0.61,1,42,2
48,0.61,1,47,1
48,0.61,1,69,2
49,0.45,0.66,0,2
49,0.45,0.66,1,1
49,0.45,0.66,3,2
49,0.45,0.66,5,2
49,0.45,0.66,11,1
49,0.45,0.66,12,2
49,0.45,0.66,13,2
49,0.45,0.66,14,1
49,0.45,0.66,16,1
49,0.45,0.66,18,1
49,0.45,0.66,25,2
49,0.45,0.66,34,1
49,0.45,0.66,35,1
49,0.45,0.66,40,2
49,0.45,0.66,44,1
49,0.45,0.66,45,2
49,0.45,0.66,47,2
49,0.45,0.66,59,2
49,0.45,0.66,60,1
49,0.45,0.66,63,1
49,0.45,0.66,64,2
49,0.45,0.66,69,2
49,0.45,0.66,79,2
49,0.45,0.66,80,1
49,0.45,0.66,85,2
49,0.45,0.66,87,2
49,0.45,0.66,90,2
49,0.45,0.66,94,1
49,0.45,0.66,96,1
49,0.45,0.66,97,1
50,0.17,0.38,4,1
50,0.17,0.38,5,2
50,0.17,0.38,6,1
50,0.17,0.38,13,1
50,0.17,0.38,14,1
50,0.17,0.38,16,2
50,0.17,0.38,18,1
50,0.17,0.38,29,2
50,0.17,0.38,35,1
50,0.17,0.38,36,2
50,0.17,0.38,37,2
50,0.17,0.38,40,1
50,0.17,0.38,51,2
50,0.17,0.38,53,2
50,0.17,0.38,55,1
50,0.17,0.38,59,2
50,0.17,0.38,61,1
50,0.17,0.38,65,1
50,0.17,0.38,67,1
50,0.17,0.38,75,2
50,0.17,0.38,76,1
50,0.17,0.38,79,1
50,0.17,0.38,81,1
50,0.17,0.38,84,1
50,0.17,0.38,86,1
51,0.05,0.31,4,1
51,0.05,0.31,29,1
51,0.05,0.31,37,2
51,0.05,0.31,39,1
51,0.05,0.31,40,1
51,0.05,0.31,55,1
51,0.05,0.31,61,1
51,0.05,0.31,65,1
51,0.05,0.31,67,2
51,0.05,0.31,75,2
51,0.05,0.31,76,1
51,0.05,0.31,81,2
51,0.05,0.31,86,2
52,0.88,0.05,15,1
52,0.88,0.05,28,2
52,0.88,0.05,54,2
52,0.88,0.05,68,2
52,0.88,0.05,89,1
52,0.88,0.05,95,2
53,0.08,0.42,4,2
53,0.08,0.42,5,2
53,0.08,0.42,29,2
53,0.08,0.42,35,1
53,0.08,0.42,36,1
53,0.08,0.42,40,2
53,0.08,0.42,51,2
53,0.08,0.42,55,2
53,0.08,0.42,61,2
53,0.08,0.42,65,1
53,0.08,0.42,67,1
53,0.08,0.42,75,2
53,0.08,0.42,76,1
53,0.08,0.42,81,2
53,0.08,0.42,83,2
53,0.08,0.42,84,2
53,0.08,0.42,86,2
54,0.95,0.29,2,2
54,0.95,0.29,15,1
54,0.95,0.29,43,2
54,0.95,0.29,95,1
55,0.18,0.17,4,1
55,0.18,0.17,22,2
55,0.18,0.17,23,1
55,0.18,0.17,29,1
55,0.18,0.17,30,1
55,0.18,0.17,37,2
55,0.18,0.17,38,2
55,0.18,0.17,39,1
55,0.18,0.17,61,2
55,0.18,0.17,62,1
55,0.18,0.17,67,2
55,0.18,0.17,75,2
56,0.47,0.07,8,2
56,0.47,0.07,22,1
56,0.47,0.07,23,1
56,0.47,0.07,30,2
56,0.47,0.07,41,2
56,0.47,0.07,62,2
56,0.47,0.07,67,2
56,0.47,0.07,75,2
56,0.47,0.07,98,2
57,0.63,0.34,2,1
57,0.63,0.34,18,2
57,0.63,0.34,94,1
57,0.63,0.34,95,1
58,0.98,0.43,2,2
58,0.98,0.43,7,1
58,0.98,0.43,27,1
58,0.98,0.43,28,2
58,0.98,0.43,43,1
58,0.98,0.43,54,1
58,0.98,0.43,70,1
58,0.98,0.43,74,2
58,0.98,0.43,89,1
58,0.98,0.43,92,2
58,0.98,0.43,95,1
59,0.19,0.64,5,2
59,0.19,0.64,19,1
59,0.19,0.64,29,2
59,0.19,0.64,31,1
59,0.19,0.64,35,2
59,0.19,0.64,36,2
59,0.19,0.64,40,1
59,0.19,0.64,53,1
59,0.19,0.64,69,2
59,0.19,0.64,76,1
59,0.19,0.64,81,1
59,0.19,0.64,83,1
59,0.19,0.64,84,1
59,0.19,0.64,85,2
59,0.19,0.64,86,2
59,0.19,0.64,90,1
60,0.52,0.76,1,2
60,0.52,0.76,3,2
60,0.52,0.76,25,2
60,0.52,0.76,34,2
60,0.52,0.76,45,2
60,0.52,0.76,47,1
60,0.52,0.76,48,2
60,0.52,0.76,69,2
60,0.52,0.76,85,2
60,0.52,0.76,87,1
60,0.52,0.76,90,1
60,0.52,0.76,92,2
60,0.52,0.76,94,1
61,0.06,0.2,4,1
61,0.06,0.2,23,2
61,0.06,0.2,29,1
61,0.06,0.2,38,1
61,0.06,0.2,75,1
62,0.38,0.01,22,1
62,0.38,0.01,23,2
62,0.38,0.01,30,1
62,0.38,0.01,41,2
63,0.36,0.86,1,1
63,0.36,0.86,19,2
63,0.36,0.86,31,1
63,0.36,0.86,34,1
63,0.36,0.86,35,1
63,0.36,0.86,47,2
63,0.36,0.86,48,2
63,0.36,0.86,59,1
63,0.36,0.86,60,1
63,0.36,0.86,64,1
63,0.36,0.86,69,2
63,0.36,0.86,85,2
63,0.36,0.86,90,1
63,0.36,0.86,97,1
64,0.36,0.67,1,1
64,0.36,0.67,3,2
64,0.36,0.67,5,1
64,0.36,0.67,13,1
64,0.36,0.67,14,2
64,0.36,0.67,16,2
64,0.36,0.67,18,2
64,0.36,0.67,19,2
64,0.36,0.67,31,1
64,0.36,0.67,34,1
64,0.36,0.67,35,1
64,0.36,0.67,36,1
64,0.36,0.67,40,1
64,0.36,0.67,45,2
64,0.36,0.67,47,1
64,0.36,0.67,59,2
64,0.36,0.67,60,1
64,0.36,0.67,69,2
64,0.36,0.67,81,2
64,0.36,0.67,83,2
64,0.36,0.67,85,1
64,0.36,0.67,87,2
64,0.36,0.67,90,1
64,0.36,0.67,94,1
65,0.07,0.3,4,2
65,0.07,0.3,29,1
65,0.07,0.3,37,2
65,0.07,0.3,38,2
65,0.07,0.3,39,1
65,0.07,0.3,40,1
65,0.07,0.3,55,2
65,0.07,0.3,61,2
65,0.07,0.3,67,1
65,0.07,0.3,75,1
65,0.07,0.3,76,1
65,0.07,0.3,81,2
65,0.07,0.3,86,1
66,0.2,0.04,4,1
66,0.2,0.04,22,2
66,0.2,0.04,23,2
66,0.2,0.04,30,2
66,0.2,0.04,37,2
66,0.2,0.04,38,1
66,0.2,0.04,39,2
66,0.2,0.04,55,2
66,0.2,0.04,56,2
66,0.2,0.04,61,2
66,0.2,0.04,62,1
66,0.2,0.04,65,1
66,0.2,0.04,67,2
66,0.2,0.04,75,1
67,0.3,0.31,3,2
67,0.3,0.31,4,1
67,0.3,0.31,16,1
67,0.3,0.31,18,1
67,0.3,0.31,22,1
67,0.3,0.31,23,2
67,0.3,0.31,29,2
67,0.3,0.31,40,1
67,0.3,0.31,41,1
67,0.3,0.31,61,1
67,0.3,0.31,75,1
67,0.3,0.31,86,2
68,0.95,0.07,15,1
68,0.95,0.07,54,1
68,0.95,0.07,89,1
68,0.95,0.07,95,2
69,0.4,0.79,31,1
69,0.4,0.79,45,2
69,0.4,0.79,47,1
69,0.4,0.79,90,2
69,0.4,0.79,94,2
70,0.8,0.62,2,2
70,0.8,0.62,7,2
70,0.8,0.62,11,2
70,0.8,0.62,25,2
70,0.8,0.62,34,2
70,0.8,0.62,43,1
70,0.8,0.62,45,1
70,0.8,0.62,47,1
70,0.8,0.62,89,2
70,0.8,0.62,92,1
70,0.8,0.62,94,2
71,0.82,0.39,2,2
71,0.82,0.39,7,1
71,0.82,0.39,8,1
71,0.82,0.39,11,2
71,0.82,0.39,21,1
71,0.82,0.39,27,1
71,0.82,0.39,28,2
71,0.82,0.39,43,1
71,0.82,0.39,54,1
71,0.82,0.39,57,1
71,0.82,0.39,58,1
71,0.82,0.39,70,1
71,0.82,0.39,74,1
71,0.82,0.39,82,1
71,0.82,0.39,87,1
71,0.82,0.39,89,1
71,0.82,0.39,92,2
71,0.82,0.39,93,2
71,0.82,0.39,95,2
72,0.69,0.28,2,1
72,0.69,0.28,3,1
72,0.69,0.28,8,2
72,0.69,0.28,11,2
72,0.69,0.28,16,2
72,0.69,0.28,20,1
72,0.69,0.28,21,1
72,0.69,0.28,27,2
72,0.69,0.28,28,2
72,0.69,0.28,41,1
72,0.69,0.28,52,2
72,0.69,0.28,54,2
72,0.69,0.28,57,1
72,0.69,0.28,71,1
72,0.69,0.28,77,2
72,0.69,0.28,87,2
72,0.69,0.28,89,1
72,0.69,0.28,93,2
72,0.69,0.28,95,1
72,0.69,0.28,98,1
73,0.68,0.32,2,2
73,0.68,0.32,3,1
73,0.68,0.32,8,1
73,0.68,0.32,11,2
73,0.68,0.32,16,2
73,0.68,0.32,18,1
73,0.68,0.32,20,2
73,0.68,0.32,21,2
73,0.68,0.32,26,2
73,0.68,0.32,27,1
73,0.68,0.32,41,2
73,0.68,0.32,45,1
73,0.68,0.32,54,1
73,0.68,0.32,57,1
73,0.68,0.32,71,2
73,0.68,0.32,72,1
73,0.68,0.32,77,2
73,0.68,0.32,82,1
73,0.68,0.32,87,1
73,0.68,0.32,89,2
73,0.68,0.32,93,1
73,0.68,0.32,95,2
73,0.68,0.32,98,1
74,0.91,0.61,2,1
74,0.91,0.61,7,2
74,0.91,0.61,25,2
74,0.91,0.61,43,2
74,0.91,0.61,46,2
74,0.91,0.61,70,1
74,0.91,0.61,89,2
74,0.91,0.61,92,2
75,0.33,0.31,4,2
75,0.33,0.31,18,1
75,0.33,0.31,23,1
76,0.02,0.54,-,-
77,0.89,0.17,2,1
77,0.89,0.17,15,2
77,0.89,0.17,20,2
77,0.89,0.17,21,2
77,0.89,0.17,27,2
77,0.89,0.17,28,2
77,0.89,0.17,52,2
77,0.89,0.17,54,2
77,0.89,0.17,58,2
77,0.89,0.17,68,2
77,0.89,0.17,71,2
77,0.89,0.17,89,1
77,0.89,0.17,93,1
77,0.89,0.17,95,2
77,0.89,0.17,98,1
78,0.55,0.25,0,1
78,0.55,0.25,2,2
78,0.55,0.25,3,2
78,0.55,0.25,8,2
78,0.55,0.25,11,2
78,0.55,0.25,14,1
78,0.55,0.25,16,2
78,0.55,0.25,18,1
78,0.55,0.25,20,2
78,0.55,0.25,21,1
78,0.55,0.25,22,1
78,0.55,0.25,30,1
78,0.55,0.25,41,2
78,0.55,0.25,56,1
78,0.55,0.25,57,2
78,0.55,0.25,62,1
78,0.55,0.25,67,2
78,0.55,0.25,72,1
78,0.55,0.25,73,1
78,0.55,0.25,75,2
78,0.55,0.25,93,2
78,0.55,0.25,98,1
79,0.42,0.54,0,2
79,0.42,0.54,3,2
79,0.42,0.54,5,2
79,0.42,0.54,6,1
79,0.42,0.54,11,1
79,0.42,0.54,13,1
79,0.42,0.54,14,2
79,0.42,0.54,16,1
79,0.42,0.54,18,1
79,0.42,0.54,34,2
79,0.42,0.54,35,1
79,0.42,0.54,40,1
79,0.42,0.54,45,1
79,0.42,0.54,47,2
79,0.42,0.54,57,2
79,0.42,0.54,59,2
79,0.42,0.54,60,1
79,0.42,0.54,64,2
79,0.42,0.54,67,1
79,0.42,0.54,69,1
79,0.42,0.54,75,2
79,0.42,0.54,81,1
79,0.42,0.54,85,2
79,0.42,0.54,87,1
79,0.42,0.54,94,1
80,0.63,0.59,0,1
80,0.63,0.59,2,1
80,0.63,0.59,3,1
80,0.63,0.59,7,1
80,0.63,0.59,9,1
80,0.63,0.59,10,2
80,0.63,0.59,11,2
80,0.63,0.59,12,2
80,0.63,0.59,14,2
80,0.63,0.59,16,1
80,0.63,0.59,18,2
80,0.63,0.59,21,1
80,0.63,0.59,25,2
80,0.63,0.59,26,2
80,0.63,0.59,34,1
80,0.63,0.59,45,2
80,0.63,0.59,47,1
80,0.63,0.59,57,1
80,0.63,0.59,60,2
80,0.63,0.59,64,1
80,0.63,0.59,70,1
80,0.63,0.59,71,2
80,0.63,0.59,73,1
80,0.63,0.59,74,2
80,0.63,0.59,79,1
80,0.63,0.59,82,2
80,0.63,0.59,87,2
80,0.63,0.59,92,2
80,0.63,0.59,94,2
81,0.13,0.58,29,2
81,0.13,0.58,31,2
81,0.13,0.58,36,1
81,0.13,0.58,40,2
81,0.13,0.58,76,1
81,0.13,0.58,86,2
82,0.91,0.51,2,2
82,0.91,0.51,7,2
82,0.91,0.51,21,1
82,0.91,0.51,27,2
82,0.91,0.51,43,2
82,0.91,0.51,54,2
82,0.91,0.51,58,2
82,0.91,0.51,70,2
82,0.91,0.51,74,2
82,0.91,0.51,87,2
82,0.91,0.51,89,2
82,0.91,0.51,92,2
82,0.91,0.51,95,1
83,0.1,0.68,19,1
83,0.1,0.68,31,1
83,0.1,0.68,36,1
83,0.1,0.68,40,1
83,0.1,0.68,76,2
83,0.1,0.68,81,2
83,0.1,0.68,86,2
83,0.1,0.68,90,2
84,0.09,0.4,4,2
84,0.09,0.4,5,2
84,0.09,0.4,29,1
84,0.09,0.4,36,1
84,0.09,0.4,37,1
84,0.09,0.4,40,2
84,0.09,0.4,51,1
84,0.09,0.4,55,1
84,0.09,0.4,61,1
84,0.09,0.4,65,1
84,0.09,0.4,67,2
84,0.09,0.4,75,1
84,0.09,0.4,76,1
84,0.09,0.4,81,1
84,0.09,0.4,83,2
84,0.09,0.4,86,1
85,0.29,0.81,1,2
85,0.29,0.81,5,2
85,0.29,0.81,19,1
85,0.29,0.81,24,1
85,0.29,0.81,31,1
85,0.29,0.81,34,1
85,0.29,0.81,36,1
85,0.29,0.81,69,2
85,0.29,0.81,81,1
85,0.29,0.81,83,1
85,0.29,0.81,90,2
86,0.11,0.47,4,2
86,0.11,0.47,29,2
86,0.11,0.47,31,1
86,0.11,0.47,36,2
86,0.11,0.47,40,2
86,0.11,0.47,61,1
86,0.11,0.47,75,2
86,0.11,0.47,76,2
87,0.62,0.57,2,2
87,0.62,0.57,3,2
87,0.62,0.57,7,1
87,0.62,0.57,11,1
87,0.62,0.57,16,2
87,0.62,0.57,18,1
87,0.62,0.57,25,1
87,0.62,0.57,34,2
87,0.62,0.57,45,2
87,0.62,0.57,47,1
87,0.62,0.57,57,2
87,0.62,0.57,70,2
87,0.62,0.57,74,2
87,0.62,0.57,92,1
87,0.62,0.57,94,1
88,0.26,0.9,1,1
88,0.26,0.9,19,1
88,0.26,0.9,24,1
88,0.26,0.9,31,1
88,0.26,0.9,35,2
88,0.26,0.9,44,2
88,0.26,0.9,59,1
88,0.26,0.9,60,1
88,0.26,0.9,63,2
88,0.26,0.9,64,1
88,0.26,0.9,69,1
88,0.26,0.9,83,2
88,0.26,0.9,85,1
88,0.26,0.9,90,1
88,0.26,0.9,91,1
88,0.26,0.9,97,2
89,0.84,0.33,2,1
89,0.84,0.33,8,2
89,0.84,0.33,15,1
89,0.84,0.33,43,1
89,0.84,0.33,54,2
89,0.84,0.33,57,1
89,0.84,0.33,95,1
90,0.33,0.87,-,-
