r = 0.3,upperCap = 50,,,
10,0.88,0.72,70,19
10,0.88,0.72,74,41
10,0.88,0.72,80,36
10,0.88,0.72,82,21
10,0.88,0.72,92,34
10,0.88,0.72,94,44
10,0.88,0.72,99,31
11,0.59,0.45,12,42
11,0.59,0.45,92,12
12,0.71,0.58,-,-
13,0.31,0.46,3,8
13,0.31,0.46,4,44
13,0.31,0.46,5,43
13,0.31,0.46,6,37
13,0.31,0.46,11,29
13,0.31,0.46,14,45
13,0.31,0.46,16,2
13,0.31,0.46,18,1
13,0.31,0.46,29,2
13,0.31,0.46,35,29
13,0.31,0.46,36,45
13,0.31,0.46,40,19
13,0.31,0.46,53,31
13,0.31,0.46,59,29
13,0.31,0.46,65,27
13,0.31,0.46,75,32
13,0.31,0.46,81,26
14,0.38,0.43,11,37
14,0.38,0.43,40,10
14,0.38,0.43,59,19
15,0.93,0.09,27,16
15,0.93,0.09,28,7
15,0.93,0.09,52,34
15,0.93,0.09,54,35
15,0.93,0.09,68,19
15,0.93,0.09,89,6
16,0.44,0.44,3,30
16,0.44,0.44,8,45
16,0.44,0.44,11,29
16,0.44,0.44,14,35
16,0.44,0.44,40,13
16,0.44,0.44,75,44
16,0.44,0.44,78,9
16,0.44,0.44,87,42
17,0.2,0.01,61,49
18,0.43,0.44,3,9
18,0.43,0.44,5,48
18,0.43,0.44,6,37
18,0.43,0.44,8,27
18,0.43,0.44,11,49
18,0.43,0.44,14,17
18,0.43,0.44,16,46
18,0.43,0.44,22,41
18,0.43,0.44,40,30
18,0.43,0.44,57,29
18,0.43,0.44,75,12
18,0.43,0.44,78,38
18,0.43,0.44,87,50
19,0.17,0.88,31,43
19,0.17,0.88,36,50
19,0.17,0.88,59,39
19,0.17,0.88,63,42
19,0.17,0.88,83,49
19,0.17,0.88,85,17
19,0.17,0.88,90,34
20,0.63,0.04,8,8
20,0.63,0.04,22,2
20,0.63,0.04,56,16
20,0.63,0.04,62,48
20,0.63,0.04,78,6
21,0.74,0.42,2,25
21,0.74,0.42,3,10
21,0.74,0.42,8,14
21,0.74,0.42,9,25
21,0.74,0.42,11,12
21,0.74,0.42,12,24
21,0.74,0.42,27,13
21,0.74,0.42,58,3
21,0.74,0.42,70,5
21,0.74,0.42,74,39
21,0.74,0.42,78,33
21,0.74,0.42,82,25
21,0.74,0.42,87,36
21,0.74,0.42,89,16
21,0.74,0.42,92,15
22,0.39,0.17,8,15
22,0.39,0.17,14,21
22,0.39,0.17,16,36
22,0.39,0.17,17,12
22,0.39,0.17,23,35
22,0.39,0.17,55,46
22,0.39,0.17,56,30
22,0.39,0.17,62,40
22,0.39,0.17,75,21
22,0.39,0.17,78,26
23,0.25,0.05,17,44
23,0.25,0.05,55,1
23,0.25,0.05,56,48
23,0.25,0.05,61,19
23,0.25,0.05,62,12
23,0.25,0.05,75,17
24,0.01,0.9,19,46
24,0.01,0.9,31,47
24,0.01,0.9,36,50
24,0.01,0.9,83,50
24,0.01,0.9,85,14
25,0.7,0.79,7,31
25,0.7,0.79,12,7
25,0.7,0.79,42,48
25,0.7,0.79,45,36
25,0.7,0.79,46,18
25,0.7,0.79,48,17
25,0.7,0.79,49,33
25,0.7,0.79,60,19
25,0.7,0.79,69,38
25,0.7,0.79,70,39
25,0.7,0.79,74,21
25,0.7,0.79,80,36
25,0.7,0.79,87,8
25,0.7,0.79,92,30
25,0.7,0.79,94,24
25,0.7,0.79,97,28
25,0.7,0.79,99,34
26,0.82,0.41,2,33
26,0.82,0.41,8,29
26,0.82,0.41,9,12
26,0.82,0.41,11,40
26,0.82,0.41,12,33
26,0.82,0.41,21,34
26,0.82,0.41,27,8
26,0.82,0.41,43,45
26,0.82,0.41,54,25
26,0.82,0.41,57,11
26,0.82,0.41,58,48
26,0.82,0.41,70,2
26,0.82,0.41,74,31
26,0.82,0.41,82,36
26,0.82,0.41,87,47
26,0.82,0.41,89,43
26,0.82,0.41,92,47
27,0.83,0.36,11,16
27,0.83,0.36,12,10
27,0.83,0.36,58,11
27,0.83,0.36,70,7
27,0.83,0.36,82,20
27,0.83,0.36,92,1
28,0.96,0.16,2,21
28,0.96,0.16,26,1
28,0.96,0.16,27,25
28,0.96,0.16,54,37
28,0.96,0.16,58,35
28,0.96,0.16,68,17
28,0.96,0.16,71,35
28,0.96,0.16,89,7
29,0.06,0.37,40,24
29,0.06,0.37,59,15
29,0.06,0.37,61,40
29,0.06,0.37,75,30
30,0.42,0.03,8,2
30,0.42,0.03,17,34
30,0.42,0.03,20,28
30,0.42,0.03,22,30
30,0.42,0.03,23,24
30,0.42,0.03,55,1
30,0.42,0.03,56,7
30,0.42,0.03,62,50
30,0.42,0.03,66,2
30,0.42,0.03,75,23
30,0.42,0.03,78,18
31,0.12,0.74,59,31
32,0.89,0.29,0,16
32,0.89,0.29,2,9
32,0.89,0.29,9,43
32,0.89,0.29,15,43
32,0.89,0.29,21,34
32,0.89,0.29,26,41
32,0.89,0.29,27,21
32,0.89,0.29,28,31
32,0.89,0.29,43,15
32,0.89,0.29,52,19
32,0.89,0.29,54,41
32,0.89,0.29,57,8
32,0.89,0.29,58,16
32,0.89,0.29,68,7
32,0.89,0.29,71,27
32,0.89,0.29,73,42
32,0.89,0.29,77,32
32,0.89,0.29,82,36
32,0.89,0.29,89,35
33,0.55,0.18,2,23
33,0.55,0.18,8,29
33,0.55,0.18,11,26
33,0.55,0.18,16,30
33,0.55,0.18,18,37
33,0.55,0.18,20,4
33,0.55,0.18,22,31
33,0.55,0.18,30,39
33,0.55,0.18,41,5
33,0.55,0.18,56,41
33,0.55,0.18,57,23
33,0.55,0.18,62,46
33,0.55,0.18,67,3
33,0.55,0.18,72,22
33,0.55,0.18,73,2
33,0.55,0.18,75,32
33,0.55,0.18,78,28
33,0.55,0.18,93,23
33,0.55,0.18,98,5
34,0.55,0.77,1,43
34,0.55,0.77,3,20
34,0.55,0.77,12,26
34,0.55,0.77,25,6
34,0.55,0.77,42,10
34,0.55,0.77,44,22
34,0.55,0.77,45,26
34,0.55,0.77,48,30
34,0.55,0.77,49,47
34,0.55,0.77,60,42
34,0.55,0.77,63,42
34,0.55,0.77,64,28
34,0.55,0.77,69,3
34,0.55,0.77,70,42
34,0.55,0.77,80,29
34,0.55,0.77,85,29
34,0.55,0.77,87,16
34,0.55,0.77,90,17
34,0.55,0.77,92,1
34,0.55,0.77,94,13
34,0.55,0.77,97,32
35,0.27,0.65,3,36
35,0.27,0.65,5,5
35,0.27,0.65,6,2
35,0.27,0.65,14,11
35,0.27,0.65,16,47
35,0.27,0.65,18,8
35,0.27,0.65,19,12
35,0.27,0.65,31,9
35,0.27,0.65,36,17
35,0.27,0.65,40,33
35,0.27,0.65,53,5
35,0.27,0.65,59,28
35,0.27,0.65,60,19
35,0.27,0.65,63,21
35,0.27,0.65,81,2
35,0.27,0.65,83,4
35,0.27,0.65,85,24
35,0.27,0.65,90,43
36,0.08,0.62,29,28
36,0.08,0.62,31,27
36,0.08,0.62,40,14
36,0.08,0.62,59,8
36,0.08,0.62,81,4
37,0.03,0.12,4,24
37,0.03,0.12,17,4
37,0.03,0.12,23,11
37,0.03,0.12,29,16
37,0.03,0.12,38,46
37,0.03,0.12,55,2
37,0.03,0.12,61,5
37,0.03,0.12,65,14
38,0,0.01,4,47
38,0,0.01,17,32
38,0,0.01,23,18
38,0,0.01,55,22
38,0,0.01,61,37
38,0,0.01,65,26
39,0.01,0.09,4,8
39,0.01,0.09,17,37
39,0.01,0.09,23,17
39,0.01,0.09,29,34
39,0.01,0.09,37,13
39,0.01,0.09,38,34
39,0.01,0.09,55,19
39,0.01,0.09,61,12
39,0.01,0.09,65,27
39,0.01,0.09,66,30
40,0.28,0.47,-,-
41,0.53,0.19,0,28
41,0.53,0.19,2,8
41,0.53,0.19,8,20
41,0.53,0.19,11,44
41,0.53,0.19,14,20
41,0.53,0.19,16,37
41,0.53,0.19,18,2
41,0.53,0.19,20,14
41,0.53,0.19,22,5
41,0.53,0.19,30,46
41,0.53,0.19,56,27
41,0.53,0.19,57,50
41,0.53,0.19,62,10
41,0.53,0.19,67,50
41,0.53,0.19,73,19
41,0.53,0.19,75,6
41,0.53,0.19,78,24
42,0.76,0.95,-,-
43,0.94,0.47,2,15
43,0.94,0.47,9,39
43,0.94,0.47,12,8
43,0.94,0.47,21,4
43,0.94,0.47,27,14
43,0.94,0.47,54,25
43,0.94,0.47,58,15
43,0.94,0.47,70,16
43,0.94,0.47,74,34
43,0.94,0.47,82,37
43,0.94,0.47,89,34
43,0.94,0.47,92,1
44,0.5,0.87,1,12
44,0.5,0.87,25,7
44,0.5,0.87,42,2
44,0.5,0.87,48,12
44,0.5,0.87,49,4
44,0.5,0.87,60,42
44,0.5,0.87,63,37
44,0.5,0.87,64,45
44,0.5,0.87,69,11
44,0.5,0.87,85,40
44,0.5,0.87,90,10
44,0.5,0.87,94,46
44,0.5,0.87,97,36
45,0.51,0.56,0,26
45,0.51,0.56,3,3
45,0.51,0.56,5,41
45,0.51,0.56,11,27
45,0.51,0.56,12,21
45,0.51,0.56,13,25
45,0.51,0.56,14,1
45,0.51,0.56,16,1
45,0.51,0.56,18,28
45,0.51,0.56,21,31
45,0.51,0.56,35,10
45,0.51,0.56,40,27
45,0.51,0.56,57,34
45,0.51,0.56,60,43
45,0.51,0.56,64,45
45,0.51,0.56,69,29
45,0.51,0.56,70,22
45,0.51,0.56,73,15
45,0.51,0.56,80,36
45,0.51,0.56,87,5
45,0.51,0.56,92,49
45,0.51,0.56,94,46
46,0.95,0.9,42,10
46,0.95,0.9,74,24
46,0.95,0.9,99,40
47,0.58,0.72,0,38
47,0.58,0.72,1,48
47,0.58,0.72,3,23
47,0.58,0.72,7,37
47,0.58,0.72,11,8
47,0.58,0.72,12,1
47,0.58,0.72,25,43
47,0.58,0.72,34,45
47,0.58,0.72,42,42
47,0.58,0.72,44,29
47,0.58,0.72,45,8
47,0.58,0.72,48,31
47,0.58,0.72,49,29
47,0.58,0.72,60,21
47,0.58,0.72,63,9
47,0.58,0.72,64,25
47,0.58,0.72,69,21
47,0.58,0.72,70,31
47,0.58,0.72,80,20
47,0.58,0.72,87,24
47,0.58,0.72,90,9
47,0.58,0.72,92,31
47,0.58,0.72,94,9
47,0.58,0.72,96,37
47,0.58,0.72,97,37
48,0.61,1,42,47
49,0.45,0.66,0,5
49,0.45,0.66,1,43
49,0.45,0.66,3,14
49,0.45,0.66,5,20
49,0.45,0.66,11,15
49,0.45,0.66,12,48
49,0.45,0.66,13,29
49,0.45,0.66,14,24
49,0.45,0.66,16,5
49,0.45,0.66,18,7
49,0.45,0.66,35,16
49,0.45,0.66,40,34
49,0.45,0.66,45,7
49,0.45,0.66,59,40
49,0.45,0.66,60,38
49,0.45,0.66,63,3
49,0.45,0.66,64,18
49,0.45,0.66,69,46
49,0.45,0.66,80,3
49,0.45,0.66,85,31
49,0.45,0.66,87,38
49,0.45,0.66,90,27
49,0.45,0.66,94,38
49,0.45,0.66,97,50
50,0.17,0.38,4,13
50,0.17,0.38,5,34
50,0.17,0.38,6,13
50,0.17,0.38,13,6
50,0.17,0.38,14,42
50,0.17,0.38,16,40
50,0.17,0.38,18,26
50,0.17,0.38,29,17
50,0.17,0.38,35,6
50,0.17,0.38,36,5
50,0.17,0.38,37,38
50,0.17,0.38,40,34
50,0.17,0.38,53,39
50,0.17,0.38,55,8
50,0.17,0.38,59,10
50,0.17,0.38,61,43
50,0.17,0.38,65,42
50,0.17,0.38,67,10
50,0.17,0.38,75,6
50,0.17,0.38,76,13
50,0.17,0.38,81,34
50,0.17,0.38,86,30
51,0.05,0.31,4,11
51,0.05,0.31,6,48
51,0.05,0.31,29,42
51,0.05,0.31,37,44
51,0.05,0.31,39,41
51,0.05,0.31,40,49
51,0.05,0.31,50,35
51,0.05,0.31,53,29
51,0.05,0.31,55,35
51,0.05,0.31,61,10
51,0.05,0.31,65,17
51,0.05,0.31,67,17
51,0.05,0.31,75,7
51,0.05,0.31,76,9
51,0.05,0.31,81,43
51,0.05,0.31,86,35
52,0.88,0.05,20,33
52,0.88,0.05,28,8
52,0.88,0.05,54,22
52,0.88,0.05,68,13
52,0.88,0.05,89,42
53,0.08,0.42,29,1
53,0.08,0.42,36,10
53,0.08,0.42,40,28
53,0.08,0.42,59,48
53,0.08,0.42,61,25
53,0.08,0.42,75,41
53,0.08,0.42,81,37
54,0.95,0.29,2,49
54,0.95,0.29,9,25
54,0.95,0.29,21,48
54,0.95,0.29,27,49
54,0.95,0.29,58,15
54,0.95,0.29,68,2
54,0.95,0.29,82,48
54,0.95,0.29,89,50
55,0.18,0.17,17,43
55,0.18,0.17,29,39
55,0.18,0.17,53,18
55,0.18,0.17,61,9
55,0.18,0.17,62,34
55,0.18,0.17,65,5
55,0.18,0.17,75,23
56,0.47,0.07,17,10
57,0.63,0.34,2,17
57,0.63,0.34,3,21
57,0.63,0.34,8,28
57,0.63,0.34,11,4
57,0.63,0.34,12,29
57,0.63,0.34,14,38
57,0.63,0.34,16,20
57,0.63,0.34,21,12
57,0.63,0.34,22,39
57,0.63,0.34,27,35
57,0.63,0.34,78,26
57,0.63,0.34,87,2
57,0.63,0.34,89,35
58,0.98,0.43,92,38
59,0.19,0.64,40,22
60,0.52,0.76,3,43
60,0.52,0.76,12,38
60,0.52,0.76,48,11
60,0.52,0.76,63,33
60,0.52,0.76,85,30
60,0.52,0.76,87,17
60,0.52,0.76,90,44
60,0.52,0.76,92,43
61,0.06,0.2,-,-
62,0.38,0.01,17,30
62,0.38,0.01,56,3
62,0.38,0.01,78,28
63,0.36,0.86,31,27
63,0.36,0.86,48,31
63,0.36,0.86,59,16
64,0.36,0.67,1,48
64,0.36,0.67,3,28
64,0.36,0.67,5,21
64,0.36,0.67,6,16
64,0.36,0.67,13,36
64,0.36,0.67,14,5
64,0.36,0.67,16,27
64,0.36,0.67,18,8
64,0.36,0.67,19,36
64,0.36,0.67,31,42
64,0.36,0.67,35,12
64,0.36,0.67,36,7
64,0.36,0.67,40,31
64,0.36,0.67,59,2
64,0.36,0.67,60,20
64,0.36,0.67,63,36
64,0.36,0.67,81,45
64,0.36,0.67,83,13
64,0.36,0.67,85,31
64,0.36,0.67,87,37
64,0.36,0.67,90,48
65,0.07,0.3,29,6
65,0.07,0.3,40,16
65,0.07,0.3,53,15
65,0.07,0.3,61,2
65,0.07,0.3,75,37
65,0.07,0.3,81,24
66,0.2,0.04,4,13
66,0.2,0.04,17,27
66,0.2,0.04,22,28
66,0.2,0.04,23,23
66,0.2,0.04,37,28
66,0.2,0.04,38,15
66,0.2,0.04,55,50
66,0.2,0.04,56,7
66,0.2,0.04,61,18
66,0.2,0.04,62,7
66,0.2,0.04,65,2
66,0.2,0.04,75,36
67,0.3,0.31,3,21
67,0.3,0.31,4,50
67,0.3,0.31,5,42
67,0.3,0.31,6,23
67,0.3,0.31,13,44
67,0.3,0.31,14,41
67,0.3,0.31,16,49
67,0.3,0.31,18,40
67,0.3,0.31,22,2
67,0.3,0.31,23,26
67,0.3,0.31,29,45
67,0.3,0.31,40,4
67,0.3,0.31,53,27
67,0.3,0.31,55,23
67,0.3,0.31,56,21
67,0.3,0.31,61,33
67,0.3,0.31,65,21
67,0.3,0.31,66,41
67,0.3,0.31,75,6
67,0.3,0.31,78,48
67,0.3,0.31,86,26
68,0.95,0.07,89,2
69,0.4,0.79,1,46
69,0.4,0.79,5,24
69,0.4,0.79,19,17
69,0.4,0.79,31,1
69,0.4,0.79,35,27
69,0.4,0.79,48,47
69,0.4,0.79,59,8
69,0.4,0.79,60,46
69,0.4,0.79,63,5
69,0.4,0.79,64,44
69,0.4,0.79,85,46
69,0.4,0.79,90,46
69,0.4,0.79,97,45
69,0.4,0.79,94,21
69,0.4,0.79,96,40
70,0.8,0.62,11,2
70,0.8,0.62,12,30
70,0.8,0.62,58,33
70,0.8,0.62,82,9
70,0.8,0.62,92,48
71,0.82,0.39,2,29
71,0.82,0.39,8,32
71,0.82,0.39,9,32
71,0.82,0.39,11,37
71,0.82,0.39,12,9
71,0.82,0.39,21,46
71,0.82,0.39,26,47
71,0.82,0.39,27,35
71,0.82,0.39,43,19
71,0.82,0.39,54,4
71,0.82,0.39,57,24
71,0.82,0.39,58,14
71,0.82,0.39,70,41
71,0.82,0.39,74,7
71,0.82,0.39,82,11
71,0.82,0.39,87,17
71,0.82,0.39,89,48
71,0.82,0.39,92,6
72,0.69,0.28,0,31
72,0.69,0.28,2,43
72,0.69,0.28,3,10
72,0.69,0.28,8,48
72,0.69,0.28,9,38
72,0.69,0.28,11,10
72,0.69,0.28,16,30
72,0.69,0.28,20,6
72,0.69,0.28,21,38
72,0.69,0.28,26,50
72,0.69,0.28,27,1
72,0.69,0.28,28,46
72,0.69,0.28,32,28
72,0.69,0.28,41,1
72,0.69,0.28,52,21
72,0.69,0.28,54,30
72,0.69,0.28,57,17
72,0.69,0.28,71,39
72,0.69,0.28,73,15
72,0.69,0.28,77,50
72,0.69,0.28,78,33
72,0.69,0.28,87,48
72,0.69,0.28,89,23
72,0.69,0.28,98,11
73,0.68,0.32,0,50
73,0.68,0.32,2,14
73,0.68,0.32,3,6
73,0.68,0.32,8,5
73,0.68,0.32,9,37
73,0.68,0.32,11,20
73,0.68,0.32,12,24
73,0.68,0.32,16,26
73,0.68,0.32,18,14
73,0.68,0.32,20,17
73,0.68,0.32,21,41
73,0.68,0.32,26,37
73,0.68,0.32,27,32
73,0.68,0.32,54,38
73,0.68,0.32,57,13
73,0.68,0.32,71,9
73,0.68,0.32,78,15
73,0.68,0.32,80,33
73,0.68,0.32,82,40
73,0.68,0.32,87,20
73,0.68,0.32,89,7
74,0.91,0.61,2,32
74,0.91,0.61,12,4
74,0.91,0.61,27,1
74,0.91,0.61,58,42
74,0.91,0.61,70,38
74,0.91,0.61,82,28
74,0.91,0.61,92,35
75,0.33,0.31,11,36
75,0.33,0.31,14,14
75,0.33,0.31,40,8
75,0.33,0.31,56,14
75,0.33,0.31,61,13
76,0.02,0.54,5,30
76,0.02,0.54,6,27
76,0.02,0.54,29,42
76,0.02,0.54,31,15
76,0.02,0.54,35,37
76,0.02,0.54,36,7
76,0.02,0.54,40,31
76,0.02,0.54,53,12
76,0.02,0.54,59,37
76,0.02,0.54,65,22
76,0.02,0.54,81,23
76,0.02,0.54,83,30
77,0.89,0.17,2,25
77,0.89,0.17,15,3
77,0.89,0.17,20,23
77,0.89,0.17,21,17
77,0.89,0.17,26,19
77,0.89,0.17,27,45
77,0.89,0.17,28,27
77,0.89,0.17,52,7
77,0.89,0.17,54,21
77,0.89,0.17,58,17
77,0.89,0.17,68,11
77,0.89,0.17,71,20
77,0.89,0.17,73,47
77,0.89,0.17,89,3
78,0.55,0.25,2,8
78,0.55,0.25,11,19
78,0.55,0.25,14,5
78,0.55,0.25,56,35
78,0.55,0.25,75,3
79,0.42,0.54,0,18
79,0.42,0.54,3,9
79,0.42,0.54,5,28
79,0.42,0.54,6,47
79,0.42,0.54,11,39
79,0.42,0.54,12,48
79,0.42,0.54,13,35
79,0.42,0.54,14,14
79,0.42,0.54,16,42
79,0.42,0.54,18,27
79,0.42,0.54,34,48
79,0.42,0.54,35,13
79,0.42,0.54,40,21
79,0.42,0.54,45,26
79,0.42,0.54,47,8
79,0.42,0.54,49,42
79,0.42,0.54,50,13
79,0.42,0.54,57,50
79,0.42,0.54,59,49
79,0.42,0.54,60,7
79,0.42,0.54,64,45
79,0.42,0.54,67,18
79,0.42,0.54,69,50
79,0.42,0.54,75,46
79,0.42,0.54,80,46
79,0.42,0.54,81,2
79,0.42,0.54,85,12
79,0.42,0.54,87,16
79,0.42,0.54,94,5
79,0.42,0.54,96,40
80,0.63,0.59,0,24
80,0.63,0.59,2,10
80,0.63,0.59,3,24
80,0.63,0.59,9,7
80,0.63,0.59,11,17
80,0.63,0.59,12,48
80,0.63,0.59,14,2
80,0.63,0.59,16,17
80,0.63,0.59,18,28
80,0.63,0.59,21,18
80,0.63,0.59,26,41
80,0.63,0.59,57,15
80,0.63,0.59,60,40
80,0.63,0.59,64,14
80,0.63,0.59,70,29
80,0.63,0.59,71,36
80,0.63,0.59,74,32
80,0.63,0.59,82,31
80,0.63,0.59,87,16
80,0.63,0.59,92,34
81,0.13,0.58,14,7
81,0.13,0.58,29,2
81,0.13,0.58,31,27
81,0.13,0.58,40,15
81,0.13,0.58,59,16
82,0.91,0.51,12,32
82,0.91,0.51,58,26
82,0.91,0.51,92,35
83,0.1,0.68,5,29
83,0.1,0.68,6,48
83,0.1,0.68,31,20
83,0.1,0.68,36,12
83,0.1,0.68,40,13
83,0.1,0.68,53,38
83,0.1,0.68,59,27
83,0.1,0.68,81,37
83,0.1,0.68,85,49
83,0.1,0.68,90,25
84,0.09,0.4,4,5
84,0.09,0.4,5,5
84,0.09,0.4,6,18
84,0.09,0.4,13,40
84,0.09,0.4,14,43
84,0.09,0.4,29,37
84,0.09,0.4,36,11
84,0.09,0.4,37,14
84,0.09,0.4,40,42
84,0.09,0.4,50,27
84,0.09,0.4,51,47
84,0.09,0.4,53,49
84,0.09,0.4,55,43
84,0.09,0.4,59,36
84,0.09,0.4,61,7
84,0.09,0.4,65,44
84,0.09,0.4,67,26
84,0.09,0.4,75,21
84,0.09,0.4,76,32
84,0.09,0.4,81,25
84,0.09,0.4,83,36
84,0.09,0.4,86,26
85,0.29,0.81,31,28
85,0.29,0.81,36,28
85,0.29,0.81,59,2
85,0.29,0.81,63,35
85,0.29,0.81,81,9
85,0.29,0.81,90,49
86,0.11,0.47,4,44
86,0.11,0.47,5,3
86,0.11,0.47,6,30
86,0.11,0.47,13,5
86,0.11,0.47,14,23
86,0.11,0.47,29,5
86,0.11,0.47,31,27
86,0.11,0.47,35,39
86,0.11,0.47,36,39
86,0.11,0.47,40,29
86,0.11,0.47,53,28
86,0.11,0.47,59,34
86,0.11,0.47,61,42
86,0.11,0.47,65,11
86,0.11,0.47,75,12
86,0.11,0.47,76,40
86,0.11,0.47,81,9
86,0.11,0.47,83,33
87,0.62,0.57,2,21
87,0.62,0.57,3,7
87,0.62,0.57,11,26
87,0.62,0.57,12,29
87,0.62,0.57,14,40
87,0.62,0.57,27,29
87,0.62,0.57,70,1
87,0.62,0.57,74,40
87,0.62,0.57,82,42
87,0.62,0.57,92,31
88,0.26,0.9,1,45
88,0.26,0.9,19,39
88,0.26,0.9,24,43
88,0.26,0.9,31,18
88,0.26,0.9,35,30
88,0.26,0.9,44,48
88,0.26,0.9,59,21
88,0.26,0.9,60,18
88,0.26,0.9,63,18
88,0.26,0.9,64,43
88,0.26,0.9,69,4
88,0.26,0.9,83,11
88,0.26,0.9,85,43
88,0.26,0.9,90,9
88,0.26,0.9,91,43
88,0.26,0.9,97,29
89,0.84,0.33,2,15
89,0.84,0.33,8,19
89,0.84,0.33,11,19
89,0.84,0.33,12,2
89,0.84,0.33,27,38
89,0.84,0.33,58,28
89,0.84,0.33,70,10
89,0.84,0.33,74,28
89,0.84,0.33,82,39
90,0.33,0.87,31,40
90,0.33,0.87,59,15
90,0.33,0.87,63,50
91,0.02,0.83,19,32
91,0.02,0.83,24,39
91,0.02,0.83,31,11
91,0.02,0.83,36,32
91,0.02,0.83,59,19
91,0.02,0.83,76,13
91,0.02,0.83,81,50
91,0.02,0.83,83,7
91,0.02,0.83,85,18
92,0.76,0.63,-,-
93,0.78,0.12,2,49
93,0.78,0.12,8,31
93,0.78,0.12,15,19
93,0.78,0.12,20,6
93,0.78,0.12,26,42
93,0.78,0.12,27,38
93,0.78,0.12,28,36
93,0.78,0.12,32,4
93,0.78,0.12,41,31
93,0.78,0.12,52,20
93,0.78,0.12,54,1
93,0.78,0.12,57,10
93,0.78,0.12,68,46
93,0.78,0.12,71,46
93,0.78,0.12,72,49
93,0.78,0.12,73,25
93,0.78,0.12,77,49
93,0.78,0.12,78,17
93,0.78,0.12,89,14
93,0.78,0.12,98,28
94,0.61,0.62,0,39
94,0.61,0.62,2,30
94,0.61,0.62,3,12
94,0.61,0.62,9,38
94,0.61,0.62,11,47
94,0.61,0.62,12,18
94,0.61,0.62,14,27
94,0.61,0.62,16,16
94,0.61,0.62,18,8
94,0.61,0.62,21,17
94,0.61,0.62,26,39
94,0.61,0.62,57,47
94,0.61,0.62,60,19
